url,maintext_translated,title_translated
https://elsiglo.com.pa/panama/nacionales/varones-cuidan-LIES23629547,"The report revealed that men, in Los Santos, were the ones who used a condom the most in their first experience with 84.4%, while the province of Panama reflected the lowest index with 42.3%.",Men take care of themselves more
https://kp.ua/incidents/320226-kyevskyi-zhd-vokzal-zamynyrovaly-po-telefonu,"At the Kiev-Passirsky railway station, the police check the anonymous information on the explosives placed on them and write by UNIAN. According to the police headquarters in the capital, information on mines came from an unknown person on the phone about 102 about half an hour ago.","Kiev CW station ""mined"" on the phone"
https://www.timeslive.co.za/news/south-africa/2012-01-08-no-monkeying-around-with-this-diet/,"FEELING a bit flabby after Christmas? Could do with losing a few kilograms?
If so, take a leaf out of the book of a fat orang-utan from Johannesburg who has lost a quarter of her body weight in a strictly controlled diet.
Gone are sweets, marshmallows, cakes, jelly and all things bad. In has come a healthy diet of fruit, vegetables and plenty of exercise, which has seen her weight drop from 100kg to 75kg in just 16 months.
Tubby orang-utan Oshine was placed on the strict diet in the UK after arriving at the Monkey World sanctuary from her previous home in Johannesburg in August 2010, where she had been kept as a pet for 12 years.
As well as the healthy lifestyle, 14-year-old Oshine has been encouraged to swing around her enclosure and be more active, playing with baby orang-utans for the first time in her life.
Dr Alison Cronin, director of Monkey World in Dorset, England, said the O-diet had made a slimmed-down Oshine a happier primate, but also reduced health risks familiar to overweight humans.
She said: ""Oshine is fantastic and more active than she's ever been. She lost a quarter of her body weight, but could probably still do with losing another 20kg to get to her ideal weight.
""When she was in South Africa she did get her five food groups of fruit and veg, protein etcetera, but she was also given the biscuits, cakes and sweet stuff which, coupled with a lack of exercise, saw her weight increase.
""Like in humans, that increases the risk of high blood pressure, cardiovascular problems and diabetes, so it was important to get the weight down. Being morbidly obese also causes fertility issues and one day we'd like to see Oshine pregnant.""
Oshine was born in a zoo in the Indonesian capital of Jakarta, but was given to a Johannesburg couple - whom Monkey World declined to identify - as a baby to raise as a pet. She grew up in the house wearing clothes and was much loved, said Cronin.
However, at age seven she became difficult to keep inside and the family built an enclosure for her. But with little exercise and a poor diet her weight ballooned until they could not cope and contacted Monkey World in 2008.
Two years later Oshine made the 10-and-a-half-hour flight from Johannesburg to London inside a specially adapted crate.
Now, said Cronin, she is enjoying life at the sanctuary, scaling 20m climbing frames and hanging from her toes and even adopting an orphaned baby orang-utan named Silvestre.
""I suppose the moral of the story is that ... this wasn't a faddy diet. This was a well-balanced diet with plenty of exercise. She'll never be some skinny, Twiggy model but she can be happy at her ideal weight and live an active life,'' Cronin said.",No monkeying around with this diet
https://www.malaysiakini.com/news/186811,"On the eve of the conclusion of the work of the Special Commission on Congressional Electoral Reform, the NPC warned that if the Government did not implement the Special Commission's recommendations before the next election, it would not exclude calling for the NCP 3.0 march. NPC President No. 2.0, Anmega, said today that the organization had tried and was still trying to move the electoral reform forward through communication and initiatives. She noted that the NPC still believed that the CPT","If the proposal fails, call for the 3-0 pedestal to be co-chaired."
https://www.sabah.com.tr/yasam/girlevik-selalesi-buz-tuttu-2113871,"Erzincan's Girlevik Falls, which is 30km away from the centre, caught ice after the night temperatures dropped below minus 18 degrees [18 degrees]. The formation of giant ice staves that found the ground 8-10 meters [8-10 m] and the formation of giant ice deposits from the ground. Serkan Cloud, who stated that they came from Aksaray for skiing, said, ""I heard that this place is very famous.",Girlevik Falls is frozen
https://nashaniva.com/?c=ar&i=65969,"In contrast to 10 and 24 December, a new protest is to take place in a moving form. The protesters are going to go through it in the form of a demonstration on the Saddian Square, half of the bullfights that attack the center of the rosary.",The Russian opposition appointed six for 4 February
https://168.hu/penz/lakaspiac-atmeneti-elenkules-74341,"The first few days of this year are hopeful in the housing market: the first week of January brought a more active customer interest, which was mainly due to the end of the year, and because of economic events, the Home Centrum claims to be a secure place for their assets. In 2011 the volume of the deal on the real estate market increased steadily from quarter to quarter, the highest value was seen in the last quarter, with an average of almost 8 percent.",Housing market: temporary recovery
http://www.elcolombiano.com:80/BancoConocimiento/B/barcelona_elimino_al_real_madrid_de_la_copa_del_rey/barcelona_elimino_al_real_madrid_de_la_copa_del_rey.asp?,"Barcelona reached the semifinals of the Copa del Rey by eliminating Real Madrid by counting 4-3, after tie tonight (2-2) in a vibrant match.The best version of Madrid in the repertoire of classics of recent years did not have its prize, which fell into the hands of an unrecognizable Barcelona, which wasted an advantage of 2-0 and ended up suffering the unthinkable until the end of the game.",Barcelona eliminated Real Madrid from the Copa del Rey
https://www.nytimes.com/2012/01/31/world/asia/pakistan-crusading-tv-host-is-fired.html?ref=todayspaper,"A major television station fired a prominent journalist on Monday after she led a self-styled moral crusade against dating couples that set off a furious public outcry. Maya Khan, 31, the host of a breakfast show, led a group of women that chased young couples through a Karachi park on Jan. 17, accusing them of bad behavior and, in one case, demanding to see their wedding certificate. To many Pakistanis, the images evoked comparisons with the Taliban. The chairman of Samaa TV, Zafar Siddiqui, said Monday that he could not “absolve such behavior irrespective of ratings the show was getting.”",Pakistan: Crusading TV Host Is Fired
https://www.prothomalo.com/old-prothomalo/বিশ্ব-ইজতেমার-দ্বিতীয়-পর্ব-আজ-শুরু-4,"With a number of thousands of political parties taking part in the country, the world is taking part in the second edition of the Islamic Republic of the world, and between the Akhir Monajat next Sunday, the second episode of the Armenian World Iberia began Thursday, which started on the second day of November, as a couple of days in various parts of the country joined in the Islamic Republic of Mosul to take part of the country's Mas Masjima district",Part 2 of the World Istima starts today.
