final_model_input_text,Event_coding,labels
"The luxury cars, which seem to be inherited from citizens of Turkey who died in Germany, are being brought to Turkey without taxes. Customs investigation conducted in İzmir has revealed that luxury car smuggling has been done with remarkable methods.. Trafficking cars through inheritance; Mercedes permisi for 1500 euros",transnational_organization_crime,21
"On Tuesday, July 2, the Directorate of Narcotics of the National Police announced the capture of eleven people at El Dorado Airport, in Bogotá, for the crime of drug trafficking.The captured were destined for the countries of France, Spain and Panama.The operatives, advanced by the uniformed in the framework of the strategy called Esmeralda Plus, were carried out during the last weekend of June 29 and 30, and the holiday bridge July 1.. Eleven people were captured in El Dorado for drug trafficking",transnational_organization_crime,21
"When he took office, Vargas pointed out that the insecurity that migrants suffer in Mexico on their way to the United States, trafficking and trafficking in persons and organized crime are the areas that demand ""immediate attention,"" according to an official statement.Mexico is a place of passage for thousands of migrants who cross the border from Guatemala with the goal of reaching U.S. territory and who on the crossing face the violence of the cartels and abuses of officials.Vargas, former director. New Chief of Migration in Mexico targets organized crime - La Prensa Gráfica",transnational_organization_crime,21
".In a joint operation, the Economic and Organised Crime Office (EOCO) and the Ghana Police Service have apprehended a human trafficking syndicate, leading to the arrest of forty-nine Nigerian nationals. EOCO in a statement said the suspects, consisting of forty-seven males and two females, aged between 18 and 34, were taken into custody in Accra.The arrested individuals are believed to be involved in human trafficking and cybercrime-related activities. During the operation, authorities discovered and seized seventy laptop computers, two saloon cars, fifty-one mobile phones, nine internet. EOCO and Ghana Police bust human trafficking syndicate in Accra",transnational_organization_crime,21
"Comptroller, Nigeria Immigration Service, Kebbi State Command, Mrs. Rabi Nuhu, has handed over three female teenagers being trafficked to Libya, to the National Agency for the Prohibition of Trafficking in Persons (NAPTIP).The Comptroller said the three girls who were being conveyed in a commercial bus from Ondo State to Sokoto through Kebbi State were rescued on February 5, 2023, when they were intercepted at Yauir/ Koko border post by immigration personnel of the border patrol team.She said that after the interrogation, they discovered that the victims; 17-year-old, miss Adewale Adekunle. Human trafficking: Kebbi Immigration rescues three teenage girls going to Libya",transnational_organization_crime,21
"Syndicates have turned Wang Kelian into an outpost for the lucrative people-smuggling business besides sullying the innocence of some villagers to work hand in glove with them. Malay Mail picKANGAR, May 30 A morbid chapter unfolded at Wang Kelian this week a wormhole opened and transported the remote village at the Malaysia-Thailand border to the dark days when people were turned into profit machines by ruthless captors.The discovery of migrant death camps and mass graves on the hills of the village destroyed Wang Kelian s unassuming rural life and brought to light all the hallmarks of. Perlis village a perfect hideout for human traffickers",transnational_organization_crime,21
"Passengers outside the Mumbai airport after the flight returned to the city on Tuesday morning from Vatry airport in France, where it was grounded after authorities in Paris received an anonymous signal alleging human trafficking . (Express Photo)Nearly three weeks after a Nicaragua-bound plane carrying Indians was grounded in France and later sent to India, the Gujarat CID has booked 14 agents on the charges of human trafficking and causing disappearance of evidence for trying to send over 60 people from Gujarat to the US illegally.. Trafficking case Flight probe: 14 agents booked for trafficking, destroying evidence",transnational_organization_crime,21
"The border security forces of India (BSF) and the Bangladesh border security forces are doing their best to curb the trafficking of BJB Bangladesh (BGBB), the challenges they face are cattle, gold, weapons, weapons and human trafficking.. The brutal tactics of cows smugglers are tunnels and tunnels in Bangladesh every day",transnational_organization_crime,21
"The National Drug Law Enforcement Agency (NDLEA) has arrested three members of an organised criminal organisation which specialises in illicit drug trafficking across Nigeria, South Africa, Mozambique, Europe and America.The Director, Media and Advocacy, NDLEA, Mr Femi Babafemi, said this in a statement issued on Sunday in Abuja.Babafemi said the suspected drug traffickers had been declared wanted for over two months by the agency.He said their arrest followed the recent seizure of the single largest consignment of heroin intercepted at the Murtala Muhammed International Airport, (MMIA). NDLEA arrests 3 wanted kingpins, seizes 51.90kg heroin",transnational_organization_crime,21
"Daler Mehndi and his brother illegally sent people overseas by showing them as troupe members and collecting 'passage money' from them. Many complained that they took the money but did not keep their promise A district court in Patiala on Thursday dismissed an appeal filed by Punjabi singer Daler Mehndi against his two-year jail term in a 2003 human trafficking case.Mehndi, who was convicted in 2018 and out on bail, was taken into police custody after the court of Additional Sessions Judge HS Grewal dismissed his appeal.As per Hindustan Times, Mehndi will now be sent to Patiala jail where. Explained: The 2003 human trafficking case against Daler Mehndi and its many twists and turns",transnational_organization_crime,21
"MUMBAI: A day after 276 passengers detained on suspicion of human trafficking in France landed in Mumbai, special inspector general of police (prevent.. France Flight: France flight: Special IGP seeks probe into trafficking angle Mumbai News - Times of India",transnational_organization_crime,21
Security coordination has made it possible to thwart specific smuggling of rough cocaine in the port of Tangiers. Morocco is no longer safe from the international drug mafia &apos; s breach of its maritime borders.. A painful blow to the international drug mafia.,transnational_organization_crime,21
"Juan Orlando Hernández was arrested and extradited to the U.S. shortly after he left Honduras' presidency.In the vast history of Latin American drug trials in the U.S., the one that begins Tuesday against former Honduran president Juan Orlando Hernández occupies a special place. Hernández was arrested at his home in Tegucigalpa in February 2022, just 19 days after he left power, and extradited to the U.S. in April of that year to respond. 4 keys to the trial of the former president of Honduras for drug trafficking that begins in the United States (and why it is extraordinary) - La Prensa Gráfica",transnational_organization_crime,21
"A woman was arrested on Tuesday for her alleged involvement in cross-border human trafficking of Bangladeshis and Rohingyans, from her home at Matinagar village of Tripura s Sepahijala district, located at the Indo-Bangla international border, said police. The woman was arrested after a joint operation by the Government Railway Police, Border Security Force and the Tripura Police.. Tripura woman arrested for cross-border trafficking of Bangladeshis, Rohingyas",transnational_organization_crime,21
"The reception hall at Vatry airport was transformed into a waiting area with individual beds to provide passengers with the best possible reception conditions, it said, adding that a judicial investigation had been opened. (Reuters/ File)Following reports that a Nicaragua-bound flight carrying 303 Indian passengers was grounded by the French government, the Indian mission in France said it was investigating the situation while also ensuring the wellbeing of the passengers. French authorities informed us of a plane w/ 303 people, mostly Indian origin, from Dubai to Nicaragua detained on a. France grounds flight with 303 Indians over suspected human trafficking , India says probe on",transnational_organization_crime,21
